Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Moss, R; Zarebski, A; Dawson, P; McCaw, JM",,,,"Moss, R.; Zarebski, A.; Dawson, P.; McCaw, J. M.",,,Retrospective forecasting of the 2010-2014 Melbourne influenza seasons using multiple surveillance systems,EPIDEMIOLOGY AND INFECTION,,,,Article,,,,,,,,"Accurate forecasting of seasonal influenza epidemics is of great concern to healthcare providers in temperate climates, since these epidemics vary substantially in their size, timing and duration from year to year, making it a challenge to deliver timely and proportionate responses. Previous studies have shown that Bayesian estimation techniques can accurately predict when an influenza epidemic will peak many weeks in advance, and we have previously tailored these methods for metropolitan Melbourne (Australia) and Google Flu Trends data. Here we extend these methods to clinical observation and laboratory-confirmation data for Melbourne, on the grounds that these data sources provide more accurate characterizations of influenza activity. We show that from each of these data sources we can accurately predict the timing of the epidemic peak 4-6 weeks in advance. We also show that making simultaneous use of multiple surveillance systems to improve forecast skill remains a fundamental challenge. Disparate systems provide complementary characterizations of disease activity, which may or may not be comparable, and it is unclear how a ground truth' for evaluating forecasts against these multiple characterizations might be defined. These findings are a significant step towards making optimal use of routine surveillance data for outbreak forecasting.","[Moss, R.; McCaw, J. M.] Univ Melbourne, Melbourne Sch Populat & Global Hlth, Ctr Epidemiol & Biostat, Melbourne, Vic, Australia; [Zarebski, A.; McCaw, J. M.] Univ Melbourne, Sch Math & Stat, Melbourne, Vic, Australia; [Dawson, P.] Def Sci & Technol Grp, Land Personnel Protect Branch, Land Div, Melbourne, Vic, Australia; [McCaw, J. M.] Royal Childrens Hosp, Murdoch Childrens Res Inst, Modelling & Simulat, Melbourne, Vic, Australia",University of Melbourne; University of Melbourne; Defence Science & Technology; Royal Children's Hospital Melbourne; Murdoch Children's Research Institute,"Moss, R (corresponding author), Univ Melbourne, Level 3,207 Bouverie St, Melbourne, Vic 3010, Australia.",rgmoss@unimelb.edu.au,,,,,,,,20,21,,,,,,,,,,,JAN,2017,145,1,,,,,156,169,,10.1017/S0950268816002053,http://dx.doi.org/10.1017/S0950268816002053,,,,,,,,,,,,2024-11-27,WOS:000390101500018,View Full Record in Web of Science
J,"van Rensburg, MJJ; Swift, C; Cody, AJ; Jenkins, C; Maiden, MCJ",,,,"van Rensburg, Melissa J. Jansen; Swift, Craig; Cody, Alison J.; Jenkins, Claire; Maiden, Martin C. J.",,,Exploiting Bacterial Whole-Genome Sequencing Data for Evaluation of Diagnostic Assays: Campylobacter Species Identification as a Case Study,JOURNAL OF CLINICAL MICROBIOLOGY,,,,Article,,,,,,,,"The application of whole-genome sequencing (WGS) to problems in clinical microbiology has had a major impact on the field. Clinical laboratories are now using WGS for pathogen identification, antimicrobial susceptibility testing, and epidemiological typing. WGS data also represent a valuable resource for the development and evaluation of molecular diagnostic assays, which continue to play an important role in clinical microbiology. To demonstrate this application of WGS, this study used publicly available genomic data to evaluate a duplex real-time PCR (RT-PCR) assay that targets mapA and ceuE for the detection of Campylobacter jejuni and Campylobacter coli, leading global causes of bacterial gastroenteritis. In silico analyses of mapA and ceuE primer and probe sequences from 1,713 genetically diverse C. jejuni and C. coli genomes, supported by RT-PCR testing, indicated that the assay was robust, with 1,707 (99.7%) isolates correctly identified. The high specificity of the mapA-ceuE assay was the result of interspecies diversity and intraspecies conservation of the target genes in C. jejuni and C. coli. Rare instances of a lack of specificity among C. coli isolates were due to introgression in mapA or sequence diversity in ceuE. The results of this study illustrate how WGS can be exploited to evaluate molecular diagnostic assays by using publicly available data, online databases, and open-source software.","[van Rensburg, Melissa J. Jansen; Cody, Alison J.; Maiden, Martin C. J.] Univ Oxford, Dept Zool, Oxford, England; [van Rensburg, Melissa J. Jansen; Swift, Craig; Cody, Alison J.; Jenkins, Claire; Maiden, Martin C. J.] Univ Oxford, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Oxford, England; [Swift, Craig; Jenkins, Claire] Publ Hlth England, Gastrointestinal Bacteria Reference Unit, London, England",University of Oxford; University of Oxford; Public Health England,"Maiden, MCJ (corresponding author), Univ Oxford, Dept Zool, Oxford, England.;Maiden, MCJ (corresponding author), Univ Oxford, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Oxford, England.",martin.maiden@zoo.ox.ac.uk,,,,,,,,12,13,,,,,,,,,,,DEC,2016,54,12,,,,,2882,2890,,10.1128/JCM.01522-16,http://dx.doi.org/10.1128/JCM.01522-16,,,,,,,,,,,,2024-11-27,WOS:000389209600008,View Full Record in Web of Science
J,"Allen, DJ; Trainor, E; Callaghan, A; O'Brien, SJ; Cunliffe, NA; Iturriza-Gómara, M",,,,"Allen, David J.; Trainor, Eamonn; Callaghan, Anna; O'Brien, Sarah J.; Cunliffe, Nigel A.; Iturriza-Gomara, Miren",,,Early Detection of Epidemic GII-4 Norovirus Strains in UK and Malawi: Role of Surveillance of Sporadic Acute Gastroenteritis in Anticipating Global Epidemics,PLOS ONE,,,,Article,,,,,,,,"Noroviruses are endemic in the human population, and are recognised as a leading cause of acute gastroenteritis worldwide. Although they are a highly diverse group of viruses, genogroup-II genotype-4 (GII-4) noroviruses are the most frequently identified strains worldwide. The predominance of GII-4 norovirus strains is driven by the periodic emergence of antigenic variants capable of evading herd protection. The global molecular epidemiology of emerging GII-4 strains is largely based on data from outbreak surveillance programmes, but the epidemiology of GII-4 strains among sporadic or community cases is far less well studied. To understand the distribution of GII-4 norovirus strains associated with gastroenteritis in the wider population, we characterised the GII-4 norovirus strains detected during studies of sporadic cases of infectious gastroenteritis collected in the UK and Malawi between 1993 and 2009. Our data shows that GII-4 norovirus strains that have emerged as strains of global epidemic importance have circulated in the community up to 18 years before their recognition as pandemic strains associated with increases in outbreaks. These data may suggest that more comprehensive surveillance programmes that incorporate strains associated with sporadic cases may provide a way for early detection of emerging strains with pandemic potential. This may be of particular relevance as vaccines become available.","[Allen, David J.; Callaghan, Anna] Publ Hlth England, Virus Reference Dept, London, England; [Trainor, Eamonn; Cunliffe, Nigel A.; Iturriza-Gomara, Miren] Univ Liverpool, Inst Infect & Global Hlth, Dept Clin Infect Microbiol & Immunol, Liverpool L69 3BX, Merseyside, England; [Callaghan, Anna] London Sch Hyg & Trop Med, Pathogen Mol Biol Unit, London WC1, England; [O'Brien, Sarah J.] Univ Liverpool, Dept Epidemiol & Publ Hlth, Inst Infect & Global Hlth, Liverpool L69 3BX, Merseyside, England; [Allen, David J.; O'Brien, Sarah J.; Iturriza-Gomara, Miren] Univ Liverpool, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Liverpool L69 3BX, Merseyside, England; [Trainor, Eamonn] St Helens & Knowsley Teaching Hosp NHS Trust, Liverpool, Merseyside, England",Public Health England; University of Liverpool; University of London; London School of Hygiene & Tropical Medicine; University of Liverpool; University of Liverpool,"Iturriza-Gomara, M (corresponding author), Univ Liverpool, Inst Infect & Global Hlth, Dept Clin Infect Microbiol & Immunol, Liverpool L69 3BX, Merseyside, England.;Iturriza-Gomara, M (corresponding author), Univ Liverpool, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Liverpool L69 3BX, Merseyside, England.",M.Iturriza-Gomara@liverpool.ac.uk,,,,,,,,21,27,,,,,,,,,,,APR 26,2016,11,4,,,,,,,e0146972,10.1371/journal.pone.0146972,http://dx.doi.org/10.1371/journal.pone.0146972,,,,,,,,,,,,2024-11-27,WOS:000374973600006,View Full Record in Web of Science
J,"O'Brien, SJ; Donaldson, AL; Iturriza-Gomara, M; Tam, CC",,,,"O'Brien, Sarah J.; Donaldson, Anna L.; Iturriza-Gomara, Miren; Tam, Clarence C.",,,Age-Specific Incidence Rates for Norovirus in the Community and Presenting to Primary Healthcare Facilities in the United Kingdom,JOURNAL OF INFECTIOUS DISEASES,,,,Article,,,,,,,,"In a prospective, population-based cohort study and a study of primary-healthcare consultations, we had a rare opportunity to estimate age-specific rates of norovirus-associated infectious intestinal disease in the United Kingdom. Rates in children aged <5 years were significantly higher than those for other age groups in the community ( 142.6 cases per 1000 person-years [95% confidence interval {CI}, 99.8-203.9] vs 37.6 [95% CI, 31.5-44.7]) and those for individuals presenting to primary healthcare (14.4 cases per 1000 person-years [95% CI, 8.5-24.5] vs 1.4 [95% CI,.9-2.0]). Robust incidence estimates are crucial for vaccination policy makers. This study emphasises the impact of norovirus-associated infectious intestinal disease, especially in children aged <5 years.","[O'Brien, Sarah J.; Donaldson, Anna L.; Iturriza-Gomara, Miren] Univ Liverpool, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Liverpool L69 3BX, Merseyside, England; [O'Brien, Sarah J.; Donaldson, Anna L.] Univ Liverpool, Inst Infect & Global Hlth, Epidemiol & Populat Hlth, Liverpool L69 3BX, Merseyside, England; [Iturriza-Gomara, Miren] Univ Liverpool, Inst Infect & Global Hlth, Clin Infect Microbiol & Immunol, Liverpool L69 3BX, Merseyside, England; [O'Brien, Sarah J.] Farr Inst HeRC, Liverpool, Merseyside, England; [Tam, Clarence C.] Natl Univ Singapore, Saw Swee Hock Sch Publ Hlth, Singapore 117548, Singapore",University of Liverpool; University of Liverpool; University of Liverpool; National University of Singapore,"O'Brien, SJ (corresponding author), Univ Liverpool, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Liverpool L69 3BX, Merseyside, England.;O'Brien, SJ (corresponding author), Univ Liverpool, Inst Infect & Global Hlth, Epidemiol & Populat Hlth, Liverpool L69 3BX, Merseyside, England.;O'Brien, SJ (corresponding author), Farr Inst HeRC, Liverpool, Merseyside, England.;O'Brien, SJ (corresponding author), NIHR Hlth Protect Res Unit Gastrointestinal Infec, 2nd Floor,Block F,Waterhouse Bldg,1-5 Brownlow St, Liverpool L69 3GL, Merseyside, England.",s.j.obrien@liverpool.ac.uk,,,,,,,,31,35,,,,,,,,,,,FEB 1,2016,213,,,1,,,S15,S18,,10.1093/infdis/jiv411,http://dx.doi.org/10.1093/infdis/jiv411,,,,,,,,,,,,2024-11-27,WOS:000370300800005,View Full Record in Web of Science
J,"Viviani, L; van der Es, M; Irvine, L; Tam, CC; Rodrigues, LC; Jackson, KA; O'Brien, SJ; Hunter, PR",,,,"Viviani, Laura; van der Es, Mike; Irvine, Lisa; Tam, Clarence C.; Rodrigues, Laura C.; Jackson, Kathryn A.; O'Brien, Sarah J.; Hunter, Paul R.",,IID2 Study Executive Comm,Estimating the Incidence of Acute Infectious Intestinal Disease in the Community in the UK: A Retrospective Telephone Survey,PLOS ONE,,,,Article,,,,,,,,"Objectives To estimate the burden of intestinal infectious disease (IID) in the UK and determine whether disease burden estimations using a retrospective study design differ from those using a prospective study design. Design/Setting A retrospective telephone survey undertaken in each of the four countries comprising the United Kingdom. Participants were randomly asked about illness either in the past 7 or 28 days. Participants 14,813 individuals for all of whom we had a legible recording of their agreement to participate Outcomes Self-reported IID, defined as loose stools or clinically significant vomiting lasting less than two weeks, in the absence of a known non-infectious cause. Results The rate of self-reported IID varied substantially depending on whether asked for illness in the previous 7 or 28 days. After standardising for age and sex, and adjusting for the number of interviews completed each month and the relative size of each UK country, the estimated rate of IID in the 7-day recall group was 1,530 cases per 1,000 person-years (95% CI: 1135-2113), while in the 28-day recall group it was 533 cases per 1,000 person-years (95% CI: 377-778). There was no significant variation in rates between the four countries. Rates in this study were also higher than in a related prospective study undertaken at the same time. Conclusions The estimated burden of disease from IID varied dramatically depending on study design. Retrospective studies of IID give higher estimates of disease burden than prospective studies. Of retrospective studies longer recall periods give lower estimated rates than studies with short recall periods. Caution needs to be exercised when comparing studies of self-reported IID as small changes in study design or case definition can markedly affect estimated rates.","[Viviani, Laura; Tam, Clarence C.; Rodrigues, Laura C.] London Sch Hyg & Trop Med, Dept Infect Dis Epidemiol, London WC1, England; [van der Es, Mike; Irvine, Lisa; Hunter, Paul R.] Univ E Anglia, Norwich Sch Med, Norwich NR4 7TJ, Norfolk, England; [Jackson, Kathryn A.; O'Brien, Sarah J.] Univ Liverpool, Inst Infect & Global Hlth, Liverpool L69 3BX, Merseyside, England",University of London; London School of Hygiene & Tropical Medicine; University of East Anglia; University of Liverpool,"Hunter, PR (corresponding author), Univ E Anglia, Norwich Sch Med, Norwich NR4 7TJ, Norfolk, England.",Paul.Hunter@uea.ac.uk,,,,,,,,9,12,,,,,,,,,,,JAN 25,2016,11,1,,,,,,,e0146171,10.1371/journal.pone.0146171,http://dx.doi.org/10.1371/journal.pone.0146171,,,,,,,,,,,,2024-11-27,WOS:000369527800017,View Full Record in Web of Science
J,"Atchison, CJ; Stowe, J; Andrews, N; Collins, S; Allen, DJ; Nawaz, S; Brown, D; Ramsay, ME; Ladhani, SN",,,,"Atchison, Christina J.; Stowe, Julia; Andrews, Nick; Collins, Sarah; Allen, David J.; Nawaz, Sameena; Brown, David; Ramsay, Mary E.; Ladhani, Shamez N.",,,Rapid Declines in Age Group-Specific Rotavirus Infection and Acute Gastroenteritis Among Vaccinated and Unvaccinated Individuals Within 1 Year of Rotavirus Vaccine Introduction in England and Wales,JOURNAL OF INFECTIOUS DISEASES,,,,Article,,,,,,,,"Background. The oral infant rotavirus vaccine, Rotarix, was introduced in England and Wales in July 2013. We estimated the impact on laboratory-confirmed rotavirus infections and hospitalizations for all-cause acute gastroenteritis (AGE) during the first year after introduction. Methods. We extracted data on laboratory-confirmed rotavirus infections (July 2000 through June 2015) and all-cause AGE-associated hospitalizations (July 2007 through June 2014) for all age groups using national databases (LabBase2 and HES). We determined the ratio of the rate during the 2013-2014 rotavirus season to the rate during the prevaccination era. Results. In infants, there was a 77% decline (rate ratio [RR], 0.23; 95% confidence interval [CI], .16-.32) in laboratory-confirmed rotavirus infections and a 26% decline (RR, 0.74; 95% CI, .65-.84) in all-cause AGE-associated hospitalizations in 2013-2014, compared with the prevaccination era. Large reductions were also observed in older children, adults, and older adults. We estimated that 10 884 laboratory-confirmed infections and 50 427 all-cause AGE-associated hospital admissions were averted in 2013-2014. Similar reductions have been observed for laboratory-confirmed rotavirus infections during the 2014-2015 season. Conclusions. The rapid declines in rotavirus infection and AGE in vaccinated and unvaccinated age groups within 1 year of introducing an infant rotavirus vaccination program are far greater than expected and than previously reported by other countries.","[Atchison, Christina J.; Stowe, Julia; Andrews, Nick; Collins, Sarah; Ramsay, Mary E.; Ladhani, Shamez N.] Univ London Imperial Coll Sci Technol & Med, Immunisat Hepatitis & Blood Safety Dept, London, England; [Allen, David J.; Nawaz, Sameena; Brown, David] Univ London Imperial Coll Sci Technol & Med, Publ Hlth England, Ctr Infect Dis Surveillance & Control, Virus Reference Dept, London, England; [Atchison, Christina J.] Univ London Imperial Coll Sci Technol & Med, Dept Primary Care & Publ Hlth, London, England",Imperial College London; Public Health England; Imperial College London; Imperial College London,"Ladhani, SN (corresponding author), Publ Hlth England, Ctr Infect Dis Surveillance & Control, Immunisat Hepatitis & Blood Safety Dept, 61 Colindale Ave, London NW9 5EQ, England.",Shamez.Ladhani@phe.gov.uk,,,,,,,,69,75,,,,,,,,,,,JAN 15,2016,213,2,,,,,243,249,,10.1093/infdis/jiv398,http://dx.doi.org/10.1093/infdis/jiv398,,,,,,,,,,,,2024-11-27,WOS:000371237900011,View Full Record in Web of Science
J,"O'Brien, SJ; Larose, TL; Adak, GK; Evans, MR; Tam, CC",,,,"O'Brien, Sarah J.; Larose, Tricia L.; Adak, Goutam K.; Evans, Meirion R.; Tam, Clarence C.",,Foodborne Dis Attribution Study,"Modelling study to estimate the health burden of foodborne diseases: cases, general practice consultations and hospitalisations in the UK, 2009",BMJ OPEN,,,,Article,,,,,,,,"Objective: To generate estimates of the burden of UK-acquired foodborne disease accounting for uncertainty. Design: A modelling study combining data from national public health surveillance systems for laboratory-confirmed infectious intestinal disease (IID) and outbreaks of foodborne disease and 2 prospective, population-based studies of IID in the community. The underlying data sets covered the time period 1993-008. We used Monte Carlo simulation and a Bayesian approach, using a systematic review to generate Bayesian priors. We calculated point estimates with 95% credible intervals (CrI). Setting: UK, 2009. Outcome measures: Pathogen-specific estimates of the number of cases, general practice (GP) consultations and hospitalisations for foodborne disease in the UK in 2009. Results: Bayesian approaches gave slightly more conservative estimates of overall health burden (similar to 511 000 cases vs 566 000 cases). Campylobacter is the most common foodborne pathogen, causing 280 400 (95% CrI 182 503-435 693) food-related cases and 38 860 (95% CrI 27 160-55 610) GP consultations annually. Despite this, there are only around 562 (95% CrI 189-1330) food-related hospital admissions due to Campylobacter, reflecting relatively low disease severity. Salmonella causes the largest number of hospitalisations, an estimated 2490 admissions (95% CrI 607-9631), closely followed by Escherichia coli O157 with 2233 admissions (95% CrI 170-32 159). Other common causes of foodborne disease include Clostridium perfringens, with an estimated 79 570 cases annually (95% CrI 30 700-211 298) and norovirus with 74 100 cases (95% CrI 61 150-89 660). Other viruses and protozoa ranked much lower as causes of foodborne disease. Conclusions: The 3 models yielded similar estimates of the burden of foodborne illness in the UK and show that continued reductions in Campylobacter, Salmonella, E. coli O157, C. perfringens and norovirus are needed to mitigate the impact of foodborne disease.","[O'Brien, Sarah J.] Univ Liverpool, Inst Infect & Global Hlth, Liverpool, Merseyside, England; [O'Brien, Sarah J.] Univ Liverpool, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Farr Inst HeRC, Liverpool, Merseyside, England; [Larose, Tricia L.; Tam, Clarence C.] London Sch Hyg & Trop Med, Dept Infect Dis Epidemiol, London, England; [Larose, Tricia L.] Norwegian Univ Sci & Technol, Dept Publ Hlth & Gen Practice, Trondheim, Norway; [Adak, Goutam K.] Publ Hlth England Ctr Infect Dis Surveillance & C, Dept Gastrointestinal Emerging & Zoonot Infect, London, England; [Evans, Meirion R.] Cardiff Univ, Inst Primary Care & Publ Hlth, Cardiff, Wales; [Tam, Clarence C.] Natl Univ Singapore, Saw Swee Hock Sch Publ Hlth, Singapore, Singapore",University of Liverpool; University of Liverpool; University of London; London School of Hygiene & Tropical Medicine; Norwegian University of Science & Technology (NTNU); Public Health England; Cardiff University; National University of Singapore,"O'Brien, SJ (corresponding author), Univ Liverpool, Inst Infect & Global Hlth, Liverpool, Merseyside, England.;O'Brien, SJ (corresponding author), Univ Liverpool, NIHR Hlth Protect Res Unit Gastrointestinal Infec, Farr Inst HeRC, Liverpool, Merseyside, England.",s.j.obrien@liverpool.ac.uk,,,,,,,,23,23,,,,,,,,,,,,2016,6,9,,,,,,,e011119,10.1136/bmjopen-2016-011119,http://dx.doi.org/10.1136/bmjopen-2016-011119,,,,,,,,,,,,2024-11-27,WOS:000391302900144,View Full Record in Web of Science
J,"Ackerley, L",,,,"Ackerley, Lisa",,,The journey of the germ: commentary on routes of infection and targeted hand hygiene,PERSPECTIVES IN PUBLIC HEALTH,,,,Article,,,,,,,,,"[Ackerley, Lisa] RSPH, London, England",,"Ackerley, L (corresponding author), Univ Salford, Environm Hlth, Salford M5 4WT, Lancs, England.",,,,,,,,,1,1,,,,,,,,,,,NOV,2015,135,6,,,,,279,281,,10.1177/1757913915606644,http://dx.doi.org/10.1177/1757913915606644,,,,,,,,,,,,2024-11-27,WOS:000364722700011,View Full Record in Web of Science
J,"Hansdotter, FI; Magnusson, M; Kühlmann-Berenzon, S; Hulth, A; Sundström, K; Hedlund, KO; Andersson, Y",,,,"Hansdotter, Frida I.; Magnusson, Mans; Kuhlmann-Berenzon, Sharon; Hulth, Anette; Sundstrom, Kristian; Hedlund, Kjell-Olof; Andersson, Yvonne",,,The incidence of acute gastrointestinal illness in Sweden,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,,,,Article,,,,,,,,"Aims: The aim of this study was to estimate the self-reported domestic incidence of acute gastrointestinal illness in the Swedish population irrespective of route of transmission or type of pathogen causing the disease. Previous studies in Sweden have primarily focused on incidence of acute gastrointestinal illness related to consumption of contaminated food and drinking water. Methods: In May 2009, we sent a questionnaire to 4000 randomly selected persons aged 0-85 years, asking about the number of episodes of stomach disease during the last 12 months. To validate the data on symptoms, we compared the study results with anonymous queries submitted to a Swedish medical website. Results: The response rate was 64%. We estimated that a total number of 2744,778 acute gastrointestinal illness episodes (95% confidence intervals 2475,641-3013,915) occurred between 1 May 2008 and 30 April 2009. Comparing the number of reported episodes with web queries indicated that the low number of episodes during the first 6 months was an effect of seasonality rather than recall bias. Further, the result of the recall bias analysis suggested that the survey captured approximately 65% of the true number of episodes among the respondents. Conclusions: The estimated number of Swedish acute gastrointestinal illness cases in this study is about five times higher than previous estimates. This study provides valuable information on the incidence of gastrointestinal symptoms in Sweden, irrespective of route of transmission, indicating a high burden of acute gastrointestinal illness, especially among children, and large societal costs, primarily due to production losses.","[Hansdotter, Frida I.] Publ Hlth Agcy Sweden, Dept Knowledge Dev, SE-17182 Solna, Sweden; [Magnusson, Mans] Linkoping Univ, Dept Comp & Informat Sci, S-58183 Linkoping, Sweden; [Kuhlmann-Berenzon, Sharon; Hulth, Anette] Publ Hlth Agcy Sweden, Dept Monitoring & Evaluat, SE-17182 Solna, Sweden; [Sundstrom, Kristian] Lund Univ, Inst Food & Agr Econ, S-22100 Lund, Sweden; [Hedlund, Kjell-Olof; Andersson, Yvonne] Swedish Inst Communicable Dis Control, Linkoping, Sweden",Public Health Agency of Sweden; Linkoping University; Public Health Agency of Sweden; Lund University; Swedish Institute for Infectious Disease Control,"Hulth, A (corresponding author), Publ Hlth Agcy Sweden, SE-17182 Solna, Sweden.",anette.hulth@folkhalsomyndigheten.se,,,,,,,,17,20,,,,,,,,,,,JUL,2015,43,5,,,,,540,547,,10.1177/1403494815576787,http://dx.doi.org/10.1177/1403494815576787,,,,,,,,,,,,2024-11-27,WOS:000357581300014,View Full Record in Web of Science
J,"Jones, PH; Dawson, S; Gaskell, RM; Coyne, KP; Tierney, A; Setzkorn, C; Radford, AD; Noble, PJM",,,,"Jones, P. H.; Dawson, S.; Gaskell, R. M.; Coyne, K. P.; Tierney, A.; Setzkorn, C.; Radford, A. D.; Noble, P. -J. M.",,,Surveillance of diarrhoea in small animal practice through the Small Animal Veterinary Surveillance Network (SAVSNET),VETERINARY JOURNAL,,,,Article,,,,,,,,"Using the Small Animal Veterinary Surveillance Network (SAVSNET), a national small animal disease-surveillance scheme, information on gastrointestinal disease was collected for a total of 76 days between 10 May 2010 and 8 August 2011 from 16,223 consultations (including data from 9115 individual dogs and 3462 individual cats) from 42 premises belonging to 19 UK veterinary practices. During that period, 7% of dogs and 3% of cats presented with diarrhoea. Adult dogs had a higher proportional morbidity of diarrhoea (PMD) than adult cats (P<0.001). This difference was not observed in animals<1 year old. Younger animals in both species had higher PMDs than adult animals (P<0.001). Neutering was associated with reduced PMD in young male dogs. In adult dogs, miniature Schnauzers had the highest PMD. Most animals with diarrhoea (51%) presented having been ill for 2-4 days, but a history of vomiting or haemorrhagic diarrhoea was associated with a shorter time to presentation. The most common treatments employed were dietary modification (66% of dogs; 63% of cats) and antibacterials (63% of dogs; 49% of cats). There was variability in PMD between different practices. The SAVNET methodology facilitates rapid collection of cross-sectional data regarding diarrhoea, a recognised sentinel for infectious disease, and characterises data that could benchmark clinical practice and support the development of evidence-based medicine. (C) 2014 Elsevier Ltd. All rights reserved.","[Jones, P. H.; Gaskell, R. M.; Coyne, K. P.; Tierney, A.; Setzkorn, C.; Radford, A. D.] Univ Liverpool, Inst Global Hlth, Neston CH64 7TE, Cheshire, England; [Jones, P. H.] Natl Consortium Zoonosis Res, Neston CH64 7TE, Cheshire, England; [Dawson, S.; Noble, P. -J. M.] Univ Liverpool, Sch Vet Sci, Neston CH64 7TE, Cheshire, England",University of Liverpool; University of Liverpool,"Noble, PJM (corresponding author), Univ Liverpool, Sch Vet Sci, Leahurst Campus,Chester High Rd, Neston CH64 7TE, Cheshire, England.",rtnorle@liv.ac.uk,,,,,,,,42,45,,,,,,,,,,,SEP,2014,201,3,,,,,412,418,,10.1016/j.tvjl.2014.05.044,http://dx.doi.org/10.1016/j.tvjl.2014.05.044,,,,,,,,,,,,2024-11-27,WOS:000342711600031,View Full Record in Web of Science
J,"Grilc, E; Socan, M",,,,"Grilc, Eva; Socan, Maja",,,POPULATION BASED SELF-REPORTED ACUTE GASTROINTESTINAL INFECTION IN SLOVENIA: MULTIPLIER STUDY,ZDRAVSTVENO VARSTVO,,,,Article,,,,,,,,"Background: The assessment of the incidence of acute gastrintestinal infections (AGI) derived from the notifications underestimates the real burden of AGI. The symptoms of AGI are usually not severe enough for consultation with a physician. The more exact data on the burden of AGI are gained through cross sectional population-based studies. To estimate the burden of AGI in Slovenia, a period prevalence study was conducted. Methods: A simple random sample consisting of 5000 Slovenian inhabitants was chosen to whom a questionnaire was sent in July 2011. The participants were asked if they experienced AGI in June 2011 according to a symptom-based case definition. The participants were asked to fill in the questionnaire on a paper or via a web page created for study purposes. Results: Out of 5000 participants, 1500 filled out the questionnaire, giving a response rate of 33%. The number of women responding out-numbered men - there were 58% female and 42% male responders. 66 (4.4%) of the responders claimed to have had AGI in June 2011. The incidence rate of acute AGI was therefore 4400 per 100,000 inhabitants. Comparatively, the incidence rate of notified cases in the same month was 78.9 per 100,000 inhabitants. The difference between the incidence of AGI, based on notified cases and incidence, calculated in the first Slovenian cross sectional study, showed that one out of 56 cases of AGI in the community has been notified. Conclusion: the incidence of AGI among the Slovenian population, based on data from our cross sectional study, is as expected higher than the incidence calculated from notification data from the same period.","[Grilc, Eva; Socan, Maja] Inst Publ Hlth Republ Slovenia, Ljubljana 1000, Slovenia",,"Grilc, E (corresponding author), Inst Publ Hlth Republ Slovenia, Trubarjeva 2, Ljubljana 1000, Slovenia.",eva.grilc@ivz-rs.si,,,,,,,,3,3,,,,,,,,,,,JUN,2014,53,2,,,,,125,132,,10.2478/sjph-2014-0013,http://dx.doi.org/10.2478/sjph-2014-0013,,,,,,,,,,,,2024-11-27,WOS:000334849700001,View Full Record in Web of Science
