PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28094075","Re-assessing the total burden of norovirus circulating in the United Kingdom population","Harris JP, Iturriza-Gomara M, O'Brien SJ.","Vaccine. 2017 Feb 7;35(6):853-855. doi: 10.1016/j.vaccine.2017.01.009. Epub 2017 Jan 13.","Harris JP","Vaccine","2017","2017/01/18","PMC5287221","","10.1016/j.vaccine.2017.01.009"
"27733632","Exploiting Bacterial Whole-Genome Sequencing Data for Evaluation of Diagnostic Assays: Campylobacter Species Identification as a Case Study","Jansen van Rensburg MJ, Swift C, Cody AJ, Jenkins C, Maiden MC.","J Clin Microbiol. 2016 Dec;54(12):2882-2890. doi: 10.1128/JCM.01522-16. Epub 2016 Oct 12.","Jansen van Rensburg MJ","J Clin Microbiol","2016","2016/10/14","PMC5121375","","10.1128/JCM.01522-16"
"27671159","Retrospective forecasting of the 2010-2014 Melbourne influenza seasons using multiple surveillance systems","Moss R, Zarebski A, Dawson P, McCAW JM.","Epidemiol Infect. 2017 Jan;145(1):156-169. doi: 10.1017/S0950268816002053. Epub 2016 Sep 27.","Moss R","Epidemiol Infect","2017","2016/09/28","PMC9507331","","10.1017/S0950268816002053"
"27625054","Modelling study to estimate the health burden of foodborne diseases: cases, general practice consultations and hospitalisations in the UK, 2009","O'Brien SJ, Larose TL, Adak GK, Evans MR, Tam CC; Foodborne Disease Attribution Study Group.","BMJ Open. 2016 Sep 13;6(9):e011119. doi: 10.1136/bmjopen-2016-011119.","O'Brien SJ","BMJ Open","2016","2016/09/15","PMC5030535","","10.1136/bmjopen-2016-011119"
"27115152","Early Detection of Epidemic GII-4 Norovirus Strains in UK and Malawi: Role of Surveillance of Sporadic Acute Gastroenteritis in Anticipating Global Epidemics","Allen DJ, Trainor E, Callaghan A, O'Brien SJ, Cunliffe NA, Iturriza-Gómara M.","PLoS One. 2016 Apr 26;11(4):e0146972. doi: 10.1371/journal.pone.0146972. eCollection 2016.","Allen DJ","PLoS One","2016","2016/04/27","PMC4846118","","10.1371/journal.pone.0146972"
"26807916","Estimating the Incidence of Acute Infectious Intestinal Disease in the Community in the UK: A Retrospective Telephone Survey","Viviani L, van der Es M, Irvine L, Tam CC, Rodrigues LC, Jackson KA, O'Brien SJ, Hunter PR; IID2 Study Executive Committee.","PLoS One. 2016 Jan 25;11(1):e0146171. doi: 10.1371/journal.pone.0146171. eCollection 2016.","Viviani L","PLoS One","2016","2016/01/26","PMC4725772","","10.1371/journal.pone.0146171"
"26744427","Age-Specific Incidence Rates for Norovirus in the Community and Presenting to Primary Healthcare Facilities in the United Kingdom","O'Brien SJ, Donaldson AL, Iturriza-Gomara M, Tam CC.","J Infect Dis. 2016 Feb 1;213 Suppl 1(Suppl 1):S15-8. doi: 10.1093/infdis/jiv411.","O'Brien SJ","J Infect Dis","2016","2016/01/09","PMC4704656","","10.1093/infdis/jiv411"
"25969165","The incidence of acute gastrointestinal illness in Sweden","Hansdotter FI, Magnusson M, Kühlmann-Berenzon S, Hulth A, Sundström K, Hedlund KO, Andersson Y.","Scand J Public Health. 2015 Jul;43(5):540-7. doi: 10.1177/1403494815576787. Epub 2015 May 12.","Hansdotter FI","Scand J Public Health","2015","2015/05/14","PMC4509877","","10.1177/1403494815576787"
"24517715","Measuring underreporting and under-ascertainment in infectious disease datasets: a comparison of methods","Gibbons CL, Mangen MJ, Plass D, Havelaar AH, Brooke RJ, Kramarz P, Peterson KL, Stuurman AL, Cassini A, Fèvre EM, Kretzschmar ME; Burden of Communicable diseases in Europe (BCoDE) consortium.","BMC Public Health. 2014 Feb 11;14:147. doi: 10.1186/1471-2458-14-147.","Gibbons CL","BMC Public Health","2014","2014/02/13","PMC4015559","","10.1186/1471-2458-14-147"
"24219653","The second study of infectious intestinal disease (IID2): increased rates of recurrent diarrhoea in individuals aged 65 years and above","Tam CC, Viviani L, Rodrigues LC, O'Brien SJ.","BMC Public Health. 2013 Aug 9;13:739. doi: 10.1186/1471-2458-13-739.","Tam CC","BMC Public Health","2013","2013/11/14","PMC3750603","","10.1186/1471-2458-13-739"
"24207165","Building influenza surveillance pyramids in near real time, Australia","Dalton CB, Carlson SJ, Butler MT, Elvidge E, Durrheim DN.","Emerg Infect Dis. 2013 Nov;19(11):1863-5. doi: 10.3201/eid1911.121878.","Dalton CB","Emerg Infect Dis","2013","2013/11/12","PMC3837640","","10.3201/eid1911.121878"
"23731678","Assessing multiple foodborne, waterborne and environmental exposures of healthy people to potential enteric pathogen sources: effect of age, gender, season, and recall period","David JM, Ravel A, Nesbitt A, Pintar K, Pollari F.","Epidemiol Infect. 2014 Jan;142(1):28-39. doi: 10.1017/S0950268813000770. Epub 2013 Apr 26.","David JM","Epidemiol Infect","2014","2013/06/05","PMC3857592","","10.1017/S0950268813000770"
"23369668","Acute gastrointestinal illness in adults in Germany: a population-based telephone survey","Wilking H, Spitznagel H, Werber D, Lange C, Jansen A, Stark K.","Epidemiol Infect. 2013 Nov;141(11):2365-75. doi: 10.1017/S0950268813000046. Epub 2013 Feb 1.","Wilking H","Epidemiol Infect","2013","2013/02/02","PMC9151398","","10.1017/S0950268813000046"
"22936989","Contaminated small drinking water supplies and risk of infectious intestinal disease: a prospective cohort study","Risebro HL, Breton L, Aird H, Hooper A, Hunter PR.","PLoS One. 2012;7(8):e42762. doi: 10.1371/journal.pone.0042762. Epub 2012 Aug 24.","Risebro HL","PLoS One","2012","2012/09/01","PMC3427350","","10.1371/journal.pone.0042762"
"22014077","The burden of self-reported acute gastrointestinal illness in Italy: a retrospective survey, 2008-2009","Scavia G, Baldinelli F, Busani L, Caprioli A.","Epidemiol Infect. 2012 Jul;140(7):1193-206. doi: 10.1017/S0950268811002020. Epub 2011 Oct 21.","Scavia G","Epidemiol Infect","2012","2011/10/22","PMC3365479","","10.1017/S0950268811002020"
"21708822","Longitudinal study of infectious intestinal disease in the UK (IID2 study): incidence in the community and presenting to general practice","Tam CC, Rodrigues LC, Viviani L, Dodds JP, Evans MR, Hunter PR, Gray JJ, Letley LH, Rait G, Tompkins DS, O'Brien SJ; IID2 Study Executive Committee.","Gut. 2012 Jan;61(1):69-77. doi: 10.1136/gut.2011.238386. Epub 2011 Jun 27.","Tam CC","Gut","2012","2011/06/29","PMC3230829","","10.1136/gut.2011.238386"
